2022-07-02 10:21:54,227 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:21:56,840 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:21:58,755 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:06,516 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:08,530 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:10,309 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:17,386 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:19,078 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:20,865 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:27,246 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:28,835 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:30,448 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:36,054 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:37,603 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:39,205 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:45,759 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:47,410 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:48,930 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:54,485 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:56,053 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:22:57,577 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:03,277 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:04,905 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:06,425 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:12,241 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:13,876 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:15,503 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:21,202 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:22,986 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:24,495 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:30,113 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:31,746 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:33,354 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:39,235 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:40,918 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:42,428 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:48,086 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:49,786 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:52,040 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:58,144 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:23:59,761 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:01,340 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:06,865 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:08,363 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:09,951 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:15,497 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:17,105 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:18,645 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:25,204 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:26,880 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:28,653 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:34,269 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:35,841 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:37,461 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:43,358 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:44,946 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:46,521 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:52,303 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:53,956 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:24:55,666 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:01,219 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:25:02,676 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
